ZIPNUM,Total_Count,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,All_Incident_Count
27278,0,0,0,0,0,0,0,0,0,0,0,0,5
27501,0,0,0,0,0,0,0,0,0,0,0,0,1
27511,0,0,0,0,0,0,0,0,0,0,0,0,1
27513,0,0,0,0,0,0,0,0,0,0,0,0,3
27514,0,0,0,0,0,0,0,0,0,0,0,0,1
27517,0,0,0,0,0,0,0,0,0,0,0,0,1
27518,0,0,0,0,0,0,0,0,0,0,0,0,1
27520,0,0,0,0,0,0,0,0,0,0,0,0,1
27526,0,0,0,0,0,0,0,0,0,0,0,0,5
27527,0,0,0,0,0,0,0,0,0,0,0,0,2
27529,7,1,3,0,0,0,1,1,1,0,0,0,60
27537,0,0,0,0,0,0,0,0,0,0,0,0,1
27540,0,0,0,0,0,0,0,0,0,0,0,0,2
27542,0,0,0,0,0,0,0,0,0,0,0,0,1
27545,0,0,0,0,0,0,0,0,0,0,0,0,1
27560,1,0,0,0,1,0,0,0,0,0,0,0,10
27565,0,0,0,0,0,0,0,0,0,0,0,0,1
27577,0,0,0,0,0,0,0,0,0,0,0,0,1
27587,6,2,3,0,0,1,0,0,0,0,0,0,27
27588,0,0,0,0,0,0,0,0,0,0,0,0,2
27592,0,0,0,0,0,0,0,0,0,0,0,0,1
27597,0,0,0,0,0,0,0,0,0,0,0,0,2
27601,9055,862,757,876,897,772,752,757,781,861,1016,724,120019
27602,0,0,0,0,0,0,0,0,0,0,0,0,1
27603,2213,280,201,255,256,152,164,169,205,185,219,127,19512
27604,18,9,2,1,1,2,0,0,0,0,2,1,38
27605,295,39,43,36,35,25,26,26,18,19,16,12,3534
27606,490,83,46,44,57,47,58,40,25,36,30,24,4192
27607,8,1,0,0,1,6,0,0,0,0,0,0,140
27608,203,20,16,15,25,23,16,31,23,17,9,8,3047
27609,278,33,34,28,31,27,21,21,30,18,29,6,3388
27610,328,47,47,38,53,55,51,32,1,0,1,3,2480
27612,14,2,2,1,2,3,1,0,1,1,0,1,76
27613,14,5,3,1,1,0,1,1,2,0,0,0,42
27614,44,2,1,9,23,4,3,0,0,0,2,0,322
27615,246,29,20,15,36,17,37,21,20,15,20,16,2594
27616,18,11,1,0,1,4,0,0,1,0,0,0,73
27617,5,0,0,0,0,2,0,1,0,2,0,0,63
27701,0,0,0,0,0,0,0,0,0,0,0,0,11
27703,0,0,0,0,0,0,0,0,0,0,0,0,16
27704,0,0,0,0,0,0,0,0,0,0,0,0,1
27706,0,0,0,0,0,0,0,0,0,0,0,0,2
27713,0,0,0,0,0,0,0,0,0,0,0,0,4
27717,0,0,0,0,0,0,0,0,0,0,0,0,3
