OBJECTID,address,address2,apt_room,arrive_date_time,cleared_date_time,dispatch_date_time,exposure,incident_number,incident_type,incident_type_description,platoon,station,Longitude,Latitude
594766,"311 STONEY MOSS DR RALEIGH, NC 27601",                                        ,110,2015-08-01 02:51:00,2015-08-01 03:19:00,2015-08-01 02:47:00,0,15-0023269,743,Smoke detector activation no fire - unintentional,B,12,-78.58128577182256,35.77660400707789
594767,"510 W JOHNSON ST RALEIGH, NC 27601",                                        ,               ,2015-07-08 18:57:00,2015-07-08 19:00:00,2015-07-08 18:53:00,0,15-0020778,743,Smoke detector activation no fire - unintentional,A,1,-78.6464599731084,35.78731949209443
594768,"2901 TRAWICK RD RALEIGH, NC 27601",UNITED SKATES OF AMERICA                ,               ,2015-07-10 12:44:00,2015-07-10 12:49:00,2015-07-10 12:41:00,0,15-0020961,735,Alarm system sounded due to malfunction,A,11,-78.58937861157217,35.81970100604935
594769,"3616 POOLE RD RALEIGH, NC 27601",BP GAS RA                               ,               ,2015-07-18 17:22:00,2015-07-18 17:49:00,2015-07-18 17:19:00,0,15-0021810,671,HazMat release investigation w/no HazMat,C,12,-78.57656266811219,35.767841913849146
594770,"101 DURHAM CO WAY RALEIGH, NC 27601",DCDH                                    ,               ,2015-07-08 21:30:00,2015-07-08 21:30:00,2015-07-08 21:21:00,0,15-9018104,611,Dispatched & cancelled en route,A,24,-78.6345159991419,35.77546935808375
594772,"2001 LORIMER RD RALEIGH, NC 27601",COMBS ELEMENTARY SCH                    ,               ,2015-07-21 21:40:00,2015-07-21 22:04:00,2015-07-21 21:30:00,0,15-0022155,745,Alarm system activation no fire - unintentional,A,14,-78.70224447100496,35.773562177688106
594773,"6715 WOODMERE DR RALEIGH, NC 27601",                                        ,               ,2015-07-13 00:47:00,2015-07-13 01:08:00,2015-07-13 00:43:00,0,15-0021246,550,Public service assistance Other,A,16,-78.66951589873034,35.87243353083111
594774,"263 PECAN RD RALEIGH, NC 27603",RFD 2                                   ,               ,2015-07-24 10:45:00,2015-07-24 11:02:00,2015-07-24 10:45:00,0,15-0022438,550,Public service assistance Other,C,2,-78.64783282883127,35.74867281814796
594776,"6131 FALLS OF NEUSE RD RALEIGH, NC 27601",ONE SPRINGFIELD CTR                     ,               ,2015-07-18 14:11:00,2015-07-18 14:25:00,2015-07-18 14:08:00,0,15-0021790,730,System malfunction Other,C,19,-78.62038816232919,35.86532861029458
594777,"331 S MCDOWELL ST RALEIGH, NC 27601",E01                                     ,               ,2015-07-21 12:58:00,2015-07-21 12:59:00,2015-07-21 12:54:00,0,15-0022109,611,Dispatched & cancelled en route,A,1,-78.64189425513415,35.776579328989804
594778,"7330 OLD WAKE FOREST RD RALEIGH, NC 27601",SEARS RA                                ,               ,2015-07-06 14:01:00,2015-07-06 14:05:00,2015-07-06 13:55:00,0,15-0020530,744,Detector activation no fire - unintentional,B,19,-78.57736187406766,35.86961816170558
594779,"328 W DAVIE ST RALEIGH, NC 27601",THE PIT                                 ,               ,2015-07-05 01:34:00,2015-07-05 01:38:00,2015-07-05 01:31:00,0,15-0020401,743,Smoke detector activation no fire - unintentional,B,1,-78.64471014566477,35.77581827284586
594780,"3210 S WILMINGTON ST RALEIGH, NC 27603",COOK OUT RA                             ,               ,2015-07-17 06:47:00,2015-07-17 08:47:00,2015-07-17 06:42:00,0,15-0021677,130,Mobile property (vehicle) fire Other,C,2,-78.650233032049,35.73706818770142
