X,Y,OBJECTID,ID,LABEL,LOCATION,CITY,AGENCY,STATIONID,RECNO
-78.643753155965882,35.777620227826603,1323,1,RFD #1,220 S. Dawson St,Raleigh,RF,S01,58
-78.6479358857638,35.748518529631724,1289,2,RFD #2,263 Pecan Rd,Raleigh,RF,S02,24
-78.632204977945307,35.779490803590306,1292,3,RFD #3,13 S. East St,Raleigh,RF,S03,27
-78.648385306853044,35.882536077155741,1315,4,RFD #4,121 Northway Ct,Raleigh,RF,S04,50
-78.661863723652189,35.788266649327838,1293,5,RFD #5,300 Oberlin Rd,Raleigh,RF,S05,28
-78.655740811954118,35.809222945849356,1294,6,RFD #6,2601 Fairview Rd,Raleigh,RF,S06,29
-78.612774773793987,35.792727680055442,1295,7,RFD #7,2100 Glascock St,Raleigh,RF,S07,30
-78.708671317473502,35.786232180606362,1287,8,RFD #8,5001 Western Blvd,Raleigh,RF,S08,22
-78.643112051504517,35.841305884293924,1314,9,RFD #9,4465 Six Forks Rd,Raleigh,RF,S09,49
-78.61315642199952,35.741719540033131,1291,10,RFD #10,2711 Sanderford Rd,Raleigh,RF,S10,26
-78.600509244032835,35.819669697184231,1316,11,RFD #11,2925 Glenridge Rd,Raleigh,RF,S11,51
-78.579865374156839,35.768894378979653,1296,12,RFD #12,3409 Poole Rd,Raleigh,RF,S12,31
-78.701713936706966,35.815795003821997,1285,14,RFD #14,4220 Lake Boone Tr,Raleigh,RF,S14,20
-78.607930555827622,35.866791222355467,1321,15,RFD #15,1815 Spring Forest Rd,Raleigh,RF,S15,56
-78.673106236068335,35.85265437652712,1322,16,RFD #16,5225 Lead Mine Rd,Raleigh,RF,S16,57
-78.711696165218612,35.859566112619262,1284,17,RFD #17,4601 Pleasant Valley Rd,Raleigh,RF,S17,19
-78.680868166973511,35.894140933213038,1312,18,RFD #18,8200 Morgans Way,Raleigh,RF,S18,47
-78.570959727641352,35.856368963693114,1318,19,RFD #19,4209 Spring Forest Rd,Raleigh,RF,S19,53
-78.692822271452442,35.75600441341917,1288,20,RFD #20,1721 Trailwood Dr,Raleigh,RF,S20,23
-78.556091229394511,35.810982690443097,1325,21,RFD #21,2651 Southall Rd,Raleigh,RF,S21,60
-78.570581798533752,35.89789960905447,1326,22,RFD #22,9350 Durant Rd,Raleigh,RF,S22,61
-78.726870562487704,35.896954769945886,1283,23,RFD #23,8312 Pinecrest Rd,Raleigh,RF,S23,18
-78.796750674357909,35.901740399487558,1330,24,RFD #24,10440 Fossil Creek Ct,Raleigh,RF,S24,65
-78.558655115946493,35.940056582755318,1331,25,RFD #25,2740 Wakefield Crossing,Raleigh,RF,S25,66
-78.554868917799539,35.732387542996541,1335,26,RFD #26,3929 Barwell Rd,Raleigh,RF,S26,70
-78.541177101752041,35.840839356949921,1334,27,RFD #27,5916 Buffaloe Rd,Raleigh,RF,S27,69
-78.51036538263962,35.882472772131933,1340,28,RFD #28,3500 Forestville Rd,Raleigh,RF,S28,69
-78.751473277138658,35.919002032891598,1346,29,RFD #29,12117 Leesville Rd,Raleigh,RF,S29,65
